Time,Z4383,Z8722,Z9657,Z8246,Z0353,Z0113,Z3993,Z1140,Z6623,Z3162,Z8043,Z1326,Z8397,Z3240,Z3953,Z6782,Z8627,Z5758,Z6929,Z6872
2025-01-22 13:51:18,0.73,1.71,4.92,21.15,21.22,4.55,0.69,1.43,1.17,23.07,4.91,2.47,2.04,24.87,2.63,1.69,25.91,4.36,0.65,1.27
2025-01-22 13:51:19,22.73,0.65,4.38,26.59,1.8,4.11,21.4,2.63,3.31,2.54,0.65,22.14,20.09,25.47,2.12,0.99,0.81,0.98,1.03,21.67
2025-01-22 13:51:20,1.38,24.51,4.53,4.28,1.62,21.49,2.09,1.6,0.99,25.47,24.12,1.53,1.95,2.85,2.17,1.01,1.0,1.67,4.3,26.17
2025-01-22 13:51:21,3.88,26.28,0.85,3.27,24.38,26.28,21.79,2.98,4.67,1.52,1.01,1.74,1.83,3.8,1.39,4.95,22.55,1.02,2.71,3.1
2025-01-22 13:51:22,0.85,0.62,2.33,24.67,26.01,2.25,22.12,1.6,3.21,4.16,2.71,26.14,22.67,2.36,0.51,28.74,1.62,2.14,3.51,1.88
2025-01-22 13:51:23,1.26,22.07,23.76,1.0,4.63,2.2,24.38,4.9,21.86,0.63,26.36,1.6,2.25,2.74,1.21,1.08,2.98,0.63,21.15,28.54
2025-01-22 13:51:24,4.61,4.55,1.99,20.13,21.79,0.69,0.88,0.74,3.32,3.6,29.85,21.71,25.19,1.43,4.69,4.38,4.62,29.37,4.98,4.5
2025-01-22 13:51:25,20.09,27.12,1.37,22.33,1.1,25.99,21.05,27.17,1.36,25.83,2.88,1.32,1.3,1.66,1.35,26.65,20.67,23.34,1.7,20.81
2025-01-22 13:51:26,1.7,0.9,1.41,29.12,27.46,3.61,29.33,3.2,1.48,1.7,4.14,20.73,5.0,23.92,2.56,0.78,1.47,3.06,26.37,1.28
2025-01-22 13:51:27,28.52,0.87,1.41,1.17,21.9,2.98,4.63,21.3,20.61,25.62,3.73,4.96,1.03,3.17,28.56,20.92,3.66,23.77,1.21,1.17
2025-01-22 13:51:28,2.56,1.66,1.16,4.7,29.78,29.13,22.57,27.95,0.93,4.54,1.57,3.47,29.74,20.34,4.96,25.99,4.01,0.76,4.61,1.59
2025-01-22 13:51:29,0.61,2.52,1.51,4.79,27.37,26.06,4.79,23.74,27.51,2.56,2.04,27.3,1.44,3.05,2.58,2.63,2.25,21.99,24.53,2.88
2025-01-22 13:51:30,3.38,1.52,4.51,0.51,2.14,27.9,23.83,1.31,21.13,0.94,1.6,23.21,3.47,1.69,23.1,22.68,4.42,0.55,29.79,1.98
2025-01-22 13:51:31,21.95,4.15,2.33,4.26,29.41,0.94,0.64,1.3,20.65,26.09,2.51,27.68,0.71,0.93,1.49,3.11,26.57,2.32,27.44,25.95
2025-01-22 13:51:32,21.24,1.43,22.69,4.92,3.83,22.2,1.48,1.89,1.7,1.4,29.15,24.74,0.77,20.4,25.75,23.78,0.69,2.75,2.29,23.37
2025-01-22 13:51:33,27.41,21.09,1.85,3.42,23.83,2.55,0.6,2.22,4.44,4.51,0.65,1.88,1.77,2.09,1.67,4.83,23.75,20.69,3.81,22.08
2025-01-22 13:51:34,26.8,27.95,27.72,20.34,26.43,2.08,3.02,3.47,3.63,1.56,3.49,3.71,4.57,26.58,24.31,4.78,22.48,2.4,24.63,1.12
2025-01-22 13:51:35,24.48,3.32,4.79,2.54,29.58,3.99,0.66,3.32,28.57,24.95,23.3,1.15,20.1,4.07,0.64,3.77,4.82,1.75,1.9,3.82
2025-01-22 13:51:36,20.94,0.79,28.13,2.53,20.34,1.97,3.88,26.14,23.89,4.33,4.12,28.08,4.24,3.28,2.02,3.54,1.11,4.01,1.21,0.68
2025-01-22 13:51:37,0.82,21.23,1.04,4.72,3.98,28.51,1.04,20.81,4.23,0.55,3.34,1.73,4.29,2.75,3.99,28.99,23.2,23.95,2.47,0.96
2025-01-22 13:51:38,21.18,27.29,0.97,24.12,0.72,4.08,26.44,3.35,1.1,23.06,1.6,1.69,1.32,4.13,25.96,23.13,3.14,2.88,1.03,0.63
2025-01-22 13:51:39,1.28,0.51,1.85,25.41,1.91,23.71,4.88,21.49,1.3,0.91,1.36,26.85,1.52,29.43,3.81,0.51,2.21,3.64,28.14,21.6
2025-01-22 13:51:40,4.29,1.06,3.78,4.95,25.55,2.9,1.89,4.23,1.27,2.73,4.58,29.98,0.88,29.53,1.41,0.84,24.75,0.89,27.43,2.65
2025-01-22 13:51:41,4.76,0.8,1.75,22.27,4.34,1.0,21.93,2.73,4.36,20.12,29.52,25.21,3.67,23.51,29.16,2.81,22.23,20.49,22.3,2.36
2025-01-22 13:51:42,0.96,0.66,1.21,20.22,25.74,24.85,1.86,4.26,22.48,1.51,2.51,1.58,1.76,1.25,4.15,21.98,1.09,1.32,1.88,22.8
2025-01-22 13:51:43,29.5,2.02,3.31,0.76,0.54,1.89,3.24,20.17,23.97,2.33,2.89,0.65,0.61,26.52,23.19,1.53,1.96,0.53,2.84,0.68
2025-01-22 13:51:44,1.43,0.86,29.72,3.94,25.73,24.09,24.02,27.58,4.64,1.49,21.85,25.89,26.62,22.15,25.05,24.96,1.98,4.3,1.13,23.03
